prior_variable,distribution,param_1,param_2
z_pop,normal,0,1
z_group,normal,0,1
z_ind,normal,0,1
mu_group,normal,0,1
mu_ind,normal,0,1
alpha_pop,normal,0,1
alpha_group,normal,0,1
alpha_ind,normal,0,1
rho_pop,lognormal,0.3,0.2
rho_group,lognormal,0.3,0.2
rho_ind,lognormal,0.3,0.2
k,exp,0.5,0
shape,exp,0.5,0
