prior_variable,distribution,param_1,param_2
mu_group,normal,0,1
mu_ind,normal,0,1
alpha_global,normal,0.5,0.5
alpha_group,normal,0.3,0.5
alpha_ind,normal,0.2,0.5
rho_global,lognormal,3,0.8
rho_group,lognormal,3,0.8
rho_ind,lognormal,3,0.8
k,exp,0.5,0
shape,exp,0.5,0
